"event_id","route","R0","k","outcome","chain_size","hub_infections","generations","peak_infected","at_hub","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells","mortality_sub_pandemic","pandora_handoff"
1,"nonspatial_sub",0.0805110936934048,0.704060876406567,"extinct",1,0,1,1,FALSE,3.12500000000003,34.1249999999999,3,59.1945442039484,158.899993896484,44,6,0.01,FALSE
2,"nonspatial_sub",0.318188194960048,0.361851189658474,"extinct",5,0,4,2,FALSE,1.20833333333336,31.9583333333333,13,49.8112467478035,170.869995117188,48,15,0.05,FALSE
3,"single_case",0,0.438156336702848,"single_case",1,0,0,1,FALSE,0.208333333333361,30.6249999999999,20,52.3257288549261,143.809997558594,56,10,0.01,FALSE
4,"nonspatial_sub",0.0712067378586594,0.392118572515087,"extinct",4,0,2,3,FALSE,-0.291666666666639,30.8749999999999,27,33.3512163366665,105.309997558594,36,11,0.04,FALSE
5,"single_case",0,0.556387712472976,"single_case",1,0,0,1,FALSE,2.37500000000003,34.7083333333333,12,58.4569110074623,167.800003051758,46,5,0.01,FALSE
6,"single_case",0,1.74163071856887,"single_case",1,0,0,1,FALSE,1.87500000000003,32.4583333333333,13,29.2369734845831,121.910003662109,36,11,0.01,FALSE
7,"nonspatial_sub",0.376834188699991,0.995070433276463,"extinct",1,0,1,1,FALSE,1.62500000000003,33.7916666666666,11,13.0788452722716,39.0299987792969,44,23,0.01,FALSE
8,"single_case",0,0.997294562438443,"single_case",1,0,0,1,FALSE,3.70833333333336,34.3749999999999,3,55.3837953139787,280.959991455078,45,6,0.01,FALSE
9,"single_case",0,0.258059213457953,"single_case",1,0,0,1,FALSE,3.04166666666669,31.3749999999999,4,36.9478748038209,86.5100021362305,57,23,0.01,FALSE
10,"spatial",1.42372158140843,0.504233658792905,"extinct",3,0,2,2,FALSE,1.70833333333336,34.9583333333333,16,92.4736897638774,195.100006103516,71,23,0.03,FALSE
11,"single_case",0,0.184046122159649,"single_case",1,0,0,1,FALSE,1.62500000000003,32.9583333333333,9,55.5,162.039993286133,49,13,0.01,FALSE
12,"nonspatial_sub",0.0867589867480082,0.484709181239208,"extinct",1,0,1,1,FALSE,1.62500000000003,34.7916666666666,16,72.2276641711272,223.529998779297,68,23,0.01,FALSE
13,"nonspatial_sub",0.123674556315095,0.206051634842096,"extinct",1,0,1,1,TRUE,3.62500000000003,31.7083333333333,1,0,11.2700004577637,NA,NA,0.01,FALSE
14,"single_case",0,2.81969842551304,"single_case",1,0,0,1,TRUE,0.875000000000028,34.3749999999999,16,0,19.2800006866455,NA,NA,0.01,FALSE
15,"single_case",0,0.357576667498195,"single_case",1,0,0,1,FALSE,-0.708333333333305,30.0416666666666,29,49.8122494373631,114.199996948242,46,10,0.01,FALSE
